"text","created","url","latitude","longitude","retweetCount","hashtag"
"Woke up 6 foot today <f0><9f><98><8e><f0><9f><99><8f> #blessed #Trump2020",2020-12-01 15:34:05,"https://twitter.com/Sam83348339/status/1333796517891641353",NA,NA,0,"#trump2020"
"<f0><9f><94><b4> LIVE: Michigan State Senate Committee on Oversight Holds Hearing on El... https://t.co/o1lk4VuVKu via @YouTube<e2><80><a6> https://t.co/fj3pxxdLtI",2020-12-01 15:33:51,"https://twitter.com/TrutherNow/status/1333796460047921152",NA,NA,0,"#trump2020"
"Woah woah woah ....... now that the MSM has stated it, I guess people will start to believe it now <f0><9f><99><84><f0><9f><99><84> #hoax<e2><80><a6> https://t.co/PkY0mY19oc",2020-12-01 15:33:40,"https://twitter.com/ms_mersedez/status/1333796413143089155",NA,NA,0,"#trump2020"
"@BigNikKulbaba @nickpotatoes79 @davenewworld_2 Says the guy who posted multiple times on an obvious post against Tr<e2><80><a6> https://t.co/zJZIv0rmOf",2020-12-01 15:32:49,"https://twitter.com/ryanlturner77/status/1333796198327545858",NA,NA,0,"#trump2020"
"@OANN Trump has done a fantastic job with the vaccine! #Trump2020 #PromisesMadePromisesKept",2020-12-01 15:32:40,"https://twitter.com/GoldennBoyyyy/status/1333796160729870336",NA,NA,0,"#trump2020"
"@KamalaHarris @JoeBiden I can<e2><80><99>t help but wonder how confident you are in that statement #Trump2020 #KeepAmericaGreat",2020-12-01 15:32:16,"https://twitter.com/Brittanypelk/status/1333796062834814978",NA,NA,0,"#trump2020"
"@GOPChairwoman @realDonaldTrump Oh please. #Trump2020 didn't do anything any other president wouldn't have done, an<e2><80><a6> https://t.co/LmBlz43RMX",2020-12-01 15:32:04,"https://twitter.com/seasquirt99/status/1333796013287489542",NA,NA,0,"#trump2020"
"@spencersmith11 @fidgitNZ @LolaLouLL @justinbaragona You think that way cause msm tells you to think that way and t<e2><80><a6> https://t.co/zXoKlIhoSM",2020-12-01 15:31:59,"https://twitter.com/Dhazelwoodjr/status/1333795991821062147",NA,NA,0,"#trump2020"
"#TuesdayMotivation 
#MAGA2020 #Trump2020 
#FightBack
#SpreadTheWord
#WeThePeople 
#PatriotsUnited #FightLikeAFlynn<e2><80><a6> https://t.co/meLIAL9zRJ",2020-12-01 15:31:59,"https://twitter.com/TweeTLeDaMe/status/1333795991036731396",NA,NA,1,"#trump2020"
"50 days till 4 more years! #Trump2020",2020-12-01 15:31:43,"https://twitter.com/DakMAGA45/status/1333795924166918144",NA,NA,1,"#trump2020"
"@cnnphilippines @CNN No shit, months later and billions later, Trump told us and the world back in February you idiots #MAGA #Trump2020",2020-12-01 15:31:30,"https://twitter.com/DPRichard928/status/1333795868416196608",NA,NA,0,"#trump2020"
"@TVNewsHQ @JesseBWatters With zero campaigning. Amazing. Mission accomplished by the media. #Trump2020",2020-12-01 15:30:48,"https://twitter.com/GLW1962/status/1333795694524547080",NA,NA,0,"#trump2020"
"@CindyKendrick11 @catturd2 Congrats @catturd2 that<e2><80><99>s a definite honor <f0><9f><92><af> #Trump2020",2020-12-01 15:30:11,"https://twitter.com/originalpeach45/status/1333795537829593088",NA,NA,0,"#trump2020"
"@ChristianRepub4 @CesarazoMolina9 @RealOmarNavarro I love my President <f0><9f><91><8f><f0><9f><87><ba><f0><9f><87><b8><f0><9f><87><ba><f0><9f><87><b8>#Trump2020",2020-12-01 15:30:02,"https://twitter.com/SamuelS58560979/status/1333795499929792512",NA,NA,0,"#trump2020"
"Who has the worst case of #TDS in Hollywood?
#Trump #Trump2020",2020-12-01 15:29:06,"https://twitter.com/RighteousRider/status/1333795266080567298",NA,NA,0,"#trump2020"
